vector,prediction,target
"[0.3729483412584862, 0.7286252007546911, 0.7309354067310645, 0.2200817986115523, 0.616203963852599, 0.5980699520624266, 0.2658377962902001, 0.020047593065291802, 0.8759149471966415, 0.050188848335599334]",1,1
"[0.9165151478690262, 0.3500770473552821, 0.8872000823518525, 0.14853173556387944, 0.26312430768015904, 0.8833092139031993, 0.8340455942918359, 0.26698515837520775, 0.5296566556666227, 0.16410262035294942]",1,0
"[0.46558542196946495, 0.5739188603366441, 0.43757557807188263, 0.3910974006701545, 0.8664742689019856, 0.8832442515264216, 0.516326664134231, 0.04069877126144428, 0.542252766116181, 0.4571049802252145]",1,1
"[0.9721112049114538, 0.38186988586099757, 0.25826271440046633, 0.7531896413754756, 0.4037353096735299, 0.123830059828263, 0.6062759584174607, 0.4769246577389108, 0.9206459275836539, 0.7025287420845497]",1,1
"[0.21667986889610513, 0.5956121414645303, 0.47921174471232775, 0.283365405421776, 0.16813109806621485, 0.36289259645139993, 0.7902964376746933, 0.7401442073509582, 0.7230478949160303, 0.8847113679079728]",1,0
"[0.9620741081836776, 0.6762853894722192, 0.9395289513073259, 0.20058559230270467, 0.8392731228050712, 0.22005950064497126, 0.9489720966496186, 0.07747950750971166, 0.22813300423845162, 0.37810752227025024]",1,1
"[0.3822300081276889, 0.8528644561843367, 0.7605682015207689, 0.47694621202713394, 0.9770096041660553, 0.334178669791396, 0.11264081599816578, 0.8765634316533021, 0.0003404067919834386, 0.7582139252656984]",0,0
"[0.6174570384428428, 0.7643808316020563, 0.24462806207963095, 0.9649402921344062, 0.3812554339272469, 0.9688428550908282, 0.0026241541702842763, 0.06004747339592598, 0.37235873437620093, 0.4927593583791776]",0,1
"[0.5863666728048751, 0.9144750243918698, 0.26223111861877213, 0.7864909639854365, 0.7096854819359479, 0.8806529354890773, 0.9271789714033003, 0.9138418548487989, 0.7097892660221384, 0.25660027354316983]",1,1
"[0.21727542423777946, 0.35888745596070293, 0.3131688099734238, 0.6381752997107946, 0.2796927067896624, 0.044622409869896185, 0.6428453499205417, 0.4880187671226417, 0.6010387884407398, 0.5565806405749627]",0,1
